,name,followers,degree_centrality,category,geodata,location,phone,email,webpage,twitter,description,Unnamed: 11,geoloc,point,latitude,longitude,altitude
10,centre de documentation d'information et d'animation pour le développement et la solidarité internationale cdsi,513,1.4369747899159664,education,,19 rue de wicardenne  62200 boulognesurmer france,  03 21 31 12 0203 21 31 12 02  ,cdsiboulogne@ritimo.org  ,http://cdsi62200.livehost.fr,,accueil du publicmaison des associations – du lundi au jeudi de 9h à 12 et 14h à 17h30 le ...,,,,,,
11,centre d’entrainement aux méthodes d’education active,3417,9.571428571428571,health,,24 rue marc seguin 75883 paris france,  01 53 26 24 2401 53 26 24 24  ,contact@cemea.asso.fr  ,http://www.cemea.asso.fr,,les ceméa mouvement d’éducation nouvelle association d’éducation populaire et organisme de for...,,"CEMÉA, 24, Rue Marc Séguin, Quartier de la Chapelle, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75883, France","(48.8921663, 2.3621363, 0.0)",48.8921663,2.3621363,0.0
12,centre primo levi,12110,33.92156862745098,health,,107 avenue parmentier paris france,  01 43 14 88 50 01 43 14 88 50, primolevi@primolevi.org  ,http://www.primolevi.org,,créé en 1995 par amnesty international médecins du monde acat juristes sans frontières et trêv...,,"107, Avenue Parmentier, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France","(48.8673978, 2.3727975, 0.0)",48.8673978,2.3727975,0.0
13,centre régional d'information et de prévention du sida crips iledefrance,2936,8.224089635854341,health,,14 rue maublanc  75015 paris france,  01 56 80 33 3301 56 80 33 33  , info@lecrips.net  ,http://www.lecrips-idf.net,,le crips est un centre de ressources pour tous ceux qui s’impliquent en ile-de-france dans la p...,,"14, Rue Maublanc, Quartier Saint-Lambert, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France","(48.8396176, 2.3000504, 0.0)",48.8396176,2.3000504,0.0
14,cfsi  comité français pour la solidarité internationale,9658,27.053221288515406,human rights democracy and governance ,,32 rue le peletier 75009 paris france,  00 33 0 1 44 83 88 50, info@cfsi.asso.fr  ,http://www.cfsi.asso.fr,,le cfsi regroupe 21 organisations agissant pour la solidarité internationale. les membres du cfsi...,,"32, Rue Le Peletier, Quartier du Faubourg-Montmartre, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France","(48.8744904, 2.3393817, 0.0)",48.8744904,2.3393817,0.0
15,chd  coordination humanitaire et développement,5652,15.831932773109244,humanitarian ,,7 rue pasquier 75008 paris france,  00 33 0 1 45 49 18 65, contact@coordination-humanitaire-developpement.org  ,http://www.coordination-humanitaire-developpeme...,,coordination humanitaire et développement chd. créée en 1983 la coordination d’agen se nomme dé...,,"7, Rue Pasquier, Quartier de la Madeleine, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France","(48.8718664, 2.3231406, 0.0)",48.8718664,2.3231406,0.0
16,citoyen des rues cdr,0,0.0,economic recovery and development,,38 bd henri iv  75004 paris  france,  06 60 99 78 4906 60 99 78 49  ,contact@citoyendesrues.org  ,http://www.citoyendesrues.org,,association d’aide aux enfants des rues. il s’agit : d’apporter une aide d’urgence locale « re-s...,,"Maison des Associations du IVe, 38, Boulevard Henri IV, Quartier de l'Arsenal, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France","(48.8521775, 2.3663665, 0.0)",48.8521775,2.3663665,0.0
17,clong volontariat,0,0.0,humanitarian ,,14 passage dubail 75010 paris france,  01 42 05 63 0001 42 05 63 00  ,clong@clong-volontariat.org  ,http://www.clong-volontariat.org,,comité de liaison des ong de volontariat créé en 1979 le clong-volontariat regroupe des associat...,,"Centre de recherche et d'Information pour le Développement, 14, Passage Dubail, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France","(48.8737094, 2.359693, 0.0)",48.8737094,2.359693,0.0
18,cnajep,3753,10.512605042016807,education,,12 rue tolain 75020 paris france,  01 40 21 14 2101 40 21 14 21  ,cnajep@cnajep.asso.fr  ,http://www.cnajep.asso.fr,,le cnajep est une coordination qui réunit plus de 70 mouvements nationaux de jeunesse et d’éducat...,,"12, Rue Tolain, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France","(48.851902, 2.4041918, 0.0)",48.851902,2.4041918,0.0
19,comité contre l’esclavage moderne,988,2.7675070028011204,human rights democracy and governance,,107 avenue parmentier 75011 paris france,  01 44 52 88 9001 44 52 88 90  , infoccem@wanadoo.fr  ,http://www.esclavagemoderne.org,,créé en 1994 pour lutter contre toutes les formes d’esclavage le comité contre l’esclavage moder...,,"Les Fondus de la Raclette, 107, Avenue Parmentier, Quartier de la Folie-Méricourt, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France","(48.8674268, 2.3727183, 0.0)",48.8674268,2.3727183,0.0
20,consultants sans frontières,303,0.8487394957983193,education,,7 rue rené boulanger 75010 paris,  33 01 46 27 96 60,csf@consultants-sans-frontieres.org  ,http://consultants-sans-frontieres.org/,,consultants sans frontières association à but non lucratif créée en 2001 propose les services d...,,"7, Rue René Boulanger, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France","(48.8691293, 2.357948, 0.0)",48.8691293,2.357948,0.0
21,coordination pour l'education à la nonviolence et à la paix,5501,15.408963585434174,education,,148 rue du faubourg saint denis  75010 paris france,  01 46 33 41 5601 46 33 41 56  ,coordination@decennie.org  ,http://www.decennie.org,,l’association coordination pour l’éducation à la non-violence et à la paix fondée en 2000 sous le...,,"Rue du Faubourg Saint-Denis, Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France","(48.8841576, 2.3592425, 0.0)",48.8841576,2.3592425,0.0
22,coordination sud,20177,56.51820728291317,education,,14 passage dubail 75010 paris france,  01 44 72 93 7201 44 72 93 72  ,sud@coordinationsud.org ,http://www.coordinationsud.org/,,coordination sud – solidarité urgence développement – est la coordination nationale des ong franç...,,"Centre de recherche et d'Information pour le Développement, 14, Passage Dubail, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France","(48.8737094, 2.359693, 0.0)",48.8737094,2.359693,0.0
23,crid  centre de recherche et d’information pour le développement,2594,7.266106442577031,education,,14 passage dubail 75010 paris france,  01 44 72 07 7101 44 72 07 71  ,contact@crid.asso.fr ,http://www.crid.asso.fr/,,fondé en 1976 par huit associations le centre de recherche et d’information crid pour le dével...,,"Centre de recherche et d'Information pour le Développement, 14, Passage Dubail, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France","(48.8737094, 2.359693, 0.0)",48.8737094,2.359693,0.0
24,défap  service protestant de mission,1550,4.341736694677871,education,,102 boulevard arago 75014 paris france,  01 42 34 55 5501 42 34 55 55  ,defap.rsi@protestants.org  ,http://www.defap.fr,,le service protestant de mission défap est le service de mission de trois églises protestantes ...,,"102, Boulevard Arago, Quartier du Montparnasse, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France","(48.8347034, 2.3347243, 0.0)",48.8347034,2.3347243,0.0
25,délégation catholique pour la coopération,6779,18.988795518207283,education,,106 rue du bac  75007 paris france,  01 45 65 96 6501 45 65 96 65 ,ladcc@ladcc.org,http://ladcc.org,,la dcc ong catholique de développement est le service du volontariat international de l’eglise ...,,"Délégation Catholique pour la Coopération, 106, Rue du Bac, Quartier Saint-Thomas-d'Aquin, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France","(48.8534158, 2.3236654, 0.0)",48.8534158,2.3236654,0.0
26,djantoli,6341,17.761904761904763,health,,204 rue de crimée 75019 paris france,  33 01 83 89 92 5133 01 83 89 92 51  , contact@djantoli.org  ,http://www.djantoli.org,,– djantoli: en afrique de l’ouest 1 enfant sur 6 n’atteint pas l’âge de 5 ans. dans 60  des cas...,,"204, Rue de Crimée, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.892083, 2.37537, 0.0)",48.892083,2.37537,0.0
27,dossiers et débats pour le développement durable,1552,4.347338935574229,economic recovery and development,,150/154 rue du faubourg saintmartin 75010 paris france,  01 44 93 00 7001 44 93 00 70  ,contact@association4d.org  ,http://www.association4d.org,,l’association 4d a été créée en 1993 après le sommet de la terre de rio afin de constituer un r...,,,,,,
28,douleurs sans frontières dsf,2794,7.826330532212885,health,,2 rue ambroise paré  75475 paris france,  09 64 28 19 99 09 64 28 19 99  ,dsf.france@douleurs.org  ,http://www.douleurs.org,,dsf développe des projets afin de promouvoir animer et développer des actions ayant pour objet l...,,"2, Rue Ambroise Paré, Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France","(48.88137235, 2.35461639093388, 0.0)",48.88137235,2.35461639093388,0.0
29,emmaus connect,8508,23.831932773109244,education,,71 rue archereau 75019 paris france,  18 00 59 88 00 18 00 50 00, info@emmaus-connect.org ,http://www.emmaus-connect.org,,emmaüs connect est une jeune association du mouvement emmaüs qui a pour mission de faire des télé...,,"71, Rue Archereau, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.8932631, 2.3763735, 0.0)",48.8932631,2.3763735,0.0
30,emmaüs défi,15928,44.61624649859944,protection,,6 rue archereau 75019 paris france,  06 19 99 13 69 06 19 99 13 69  ,shollebecq@emmaus-defi.org,http://emmaus-defi.org/,,emmaüs défi est un laboratoire d’innovation sociale reposant sur un chantier d’insertion luttant ...,,,,,,
31,enfants  développement ed,4498,12.599439775910364,health,,13 rue jules simon  75015 paris france,  01 53 68 98 2001 53 68 98 20  ,siege@enfantsetdeveloppement.org  ,http://www.enfantsetdeveloppement.org,,enfants  développement a pour vocation d’améliorer les conditions de vie des enfants les plu...,,"13, Rue Jules Simon, Quartier Saint-Lambert, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France","(48.8402994, 2.2931515, 0.0)",48.8402994,2.2931515,0.0
32,environnement développement action,0,0.0,environment,,5 rue des immeubles industriels 75011 paris france,  01 44 93 87 4001 44 93 87 40  ,contact@enda-europe.org,http://www.enda-europe.org,,enda europe est une association de droit français loi 1901 issue de l’ong internationale enda t...,,"5, Rue des Immeubles Industriels, Quartier Sainte-Marguerite, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France","(48.8493561, 2.3927206, 0.0)",48.8493561,2.3927206,0.0
33,envol vert,6,0.01680672268907563,environment,,44 rue de montreuil 75011 paris france , ,coordination@envol-vert.org  ,http://envol-vert.org,,l’objectif d’envol vert est de préserver la forêt et la biodiversité dans les pays le...,,"44, Rue de Montreuil, Quartier Sainte-Marguerite, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France","(48.850392, 2.3877068, 0.0)",48.850392,2.3877068,0.0
34,etudiants et développement,509,1.4257703081232493,education,,50 rue des tournelles 75003 paris france,  33 01 55 86 74 41 33 ,animation@etudiantsetdeveloppement.org ,http://www.etudiantsetdeveloppement.org,,etudiants et développement ed est une association nationale de solidarité internationale e...,,"Radio Campus Paris, 50, Rue des Tournelles, Quartier des Archives, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France","(48.8562253, 2.3674121, 0.0)",48.8562253,2.3674121,0.0
35,f3e,764,2.1400560224089635,education,,32 rue le peletier 75009 paris france,  33 01 44 83 03 55 33 , f3e@f3e.asso.fr,http://f3e.asso.fr/,,créé en 1994 le f3e est un réseau pluri-acteurs composé de 80 ong collectivités territoriales e...,,"32, Rue Le Peletier, Quartier du Faubourg-Montmartre, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France","(48.8744904, 2.3393817, 0.0)",48.8744904,2.3393817,0.0
36,fédération des associations franco africaines de développement fafrad,3708,10.38655462184874,education,, 11 rue caillaux  75013 paris france,  06 75 03 74 6206 75 03 74 62 , fafrad@free.fr  ,http://www.fafrad.org,,la fafrad-économique assiste les porteurs de projet dans la recherche de financements appropriés....,,"11, Rue Caillaux, Quartier de la Maison-Blanche, Paris 13e Arrondissement, Paris, Île-de-France, France métropolitaine, 75013, France","(48.8226451, 2.3613206, 0.0)",48.8226451,2.3613206,0.0
37,fédération française des maisons de jeunes et de la culture,6141,17.201680672268907,education,,15 rue la condamine 75017 paris france,  01 44 69 82 2501 44 69 82 25  ,contact@ffmjc.org,http://www.ffmjc.org,,la fédération française des maisons de jeunes et de la culture a pour but de:  permettre à chacun...,,"15, Rue la Condamine, Quartier des Batignolles, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France","(48.8874288, 2.3237815, 0.0)",48.8874288,2.3237815,0.0
38,fédération léo lagrange,5952,16.672268907563026,education,,150 rue des poissonniers  75883 paris  france,  01 53 09 00 0001 53 09 00 00  ,accueil.fll@leolagrange.org  ,http://www.leolagrange.org,,réseau d’associations d’éducation populaire et employeur de l’économie sociale et solidaire dont ...,,"150, Rue des Poissonniers, Quartier de la Goutte-d'Or, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France","(48.8976272, 2.3527692, 0.0)",48.8976272,2.3527692,0.0
39,femmes de la terre,313,0.876750700280112,human rights democracy and governance,,2 rue de la solidarité 75019 paris france,  01 48 06 03 3401 48 06 03 34  ,contact@femmesdelaterre.org ,http://www.femmesdelaterre.org,,permanence juridique en droit des étrangers pour les femmes leurs familles et les jeunes. l’obje...,,"2, Rue de la Solidarité, Quartier d'Amérique, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.8830833, 2.3899653, 0.0)",48.8830833,2.3899653,0.0
40,femmes et contributions au développement,26,0.07282913165266107,economic recovery and development,,9 rue mathis 75019 paris france,  01 55 26 82 1001 55 26 82 10  ,fecodev@gmail.com,http://fecodev.com,,à l’heure où la question du genre prend de l’importance à tous les niveaux et dans tous les domai...,,"9, Rue Mathis, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.890647, 2.375619, 0.0)",48.890647,2.375619,0.0
41,fidesco,13112,36.72829131652661,humanitarian ,,91 bd auguste blanqui 75013 paris france,  01 58 10 74 8401 58 10 74 84  ,contact@fidesco.fr ,http://www.fidesco.fr,,organisation catholique de solidarité internationale fidesco envoie des volontaires dans les pay...,,"Boulevard Auguste Blanqui, Quartier de Croulebarbe, Paris 13e Arrondissement, Paris, Île-de-France, France métropolitaine, 75013, France","(48.8297485, 2.3493566, 0.0)",48.8297485,2.3493566,0.0
42,fondation abbé pierre pour le logement des défavorisés,293773,822.8935574229691,human rights ,,3/5 rue de romainville 75019 paris france,  01 55 56 37 0001 55 56 37 00  , contact@fondation-abbe-pierre.fr  ,http://www.fondation-abbe-pierre.fr,,fidèle à l’esprit de l’abbé pierre la fondation poursuit son combat : elle lutte pour que chacun...,,"Rue de Romainville, Quartier d'Amérique, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.8775103, 2.4022702, 0.0)",48.8775103,2.4022702,0.0
43,fondation energies pour le monde  fondem,1097,3.0728291316526612,environment,,146 rue de l’université 75007 paris france ,  01 44 18 00 8001 44 18 00 80  , energiespourlemonde@energies-renouvelables.org,http://www.fondem.ong,,depuis 1990 la fondation énergies pour le monde et ses partenaires favorisent l’accès à l’électr...,,"146, Rue de l'Université, Quartier des Invalides, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France","(48.8611739, 2.3096174, 0.0)",48.8611739,2.3096174,0.0
44,goodplanet,123247,345.2296918767507,environment,,1 carrefour de longchamp 75116 paris france,  33 01 48 42 01 0133 , contact@goodplanet.org  ,http://www.goodplanet.org,,fondation reconnue d’utilité publique présidée par yann arthus-bertrand goodplanet a pour missio...,,"Fondation GoodPlanet, 1, Carrefour de Longchamp, Quartier de la Muette, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75116, France","(48.8646585, 2.2381118, 0.0)",48.8646585,2.2381118,0.0
45,forim  forum des organisations de solidarité internationale issues des migrations,6589,18.45658263305322,education,,14 passage dubail 75010 paris france,  01 44 72 02 8801 44 72 02 88, forim@forim.net  ,http://www.forim.net,,le forum des organisations de solidarité internationale issues des migrations en abrégé forim ...,,"Centre de recherche et d'Information pour le Développement, 14, Passage Dubail, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France","(48.8737094, 2.359693, 0.0)",48.8737094,2.359693,0.0
46,formation pour l’epanouissement et le renouveau de la terre,3258,9.126050420168067,environment,,5 rue joseph et marie hackin 75116 paris france,  01 44 31 16 7001 44 31 16 70  ,fert@fert.fr  ,http://www.fert.fr,,fert est une association de coopération internationale créée en 1981 par la volonté de responsabl...,,"Rue Joseph et Marie Hackin, Quartier de la Porte-Dauphine, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75116, France","(48.8774508, 2.2792956, 0.0)",48.8774508,2.2792956,0.0
47,france libertés  fondation danielle mitterrand,11071,31.011204481792717,human rights democracy and governance,,22 rue de milan 75009 paris france,  01 53 25 10 4001 53 25 10 40  ,contact@france-libertes.fr  ,http://www.france-libertes.fr,,fondée en 1986 par mme danielle mitterrand france libertés est une fondation reconnue d’utilité ...,,"22, Rue de Milan, Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France","(48.8788185, 2.3274382, 0.0)",48.8788185,2.3274382,0.0
48,france terre d'asile,38259,107.16806722689076,human rights democracy and governance,,24 rue marc seguin 75018 paris  france,  01 53 04 39 9901 53 04 39 99  , infos@france-terre-asile.org ,http://www.france-terre-asile.org,,l’association selon la loi du 1er juillet 1901 dite france terre d’asile fondée en ...,,"24, Rue Marc Séguin, Quartier de la Chapelle, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France","(48.8921197, 2.362167, 0.0)",48.8921197,2.362167,0.0
49,frères des hommes,3471,9.722689075630251,economic recovery and development,,2 rue de savoie 75006 paris france,  01 55 42 62 72 01 55 42 62 72 ,contact.pepiniere@fdh.org ,https://www.fdh.org,,fondée en 1965 frères des hommes est une association de solidarité internationale reconnue d’uti...,,"2, Rue de Savoie, Quartier de la Monnaie, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France","(48.8542846, 2.3420712, 0.0)",48.8542846,2.3420712,0.0
50,ginkgo volunteers in action,8,0.022408963585434174,economic recovery and development,,204 rue de crimée paris france ,  01 40 05 50 50 01 40 05 50 50  ,contact@ginkgo-volunteers.org  ,http://www.ginkgo-volunteers.org/,,créée en 2006 sous le nom de développement sans frontières ginkgo – volunteers in action e...,,"204, Rue de Crimée, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.892083, 2.37537, 0.0)",48.892083,2.37537,0.0
51,gretprofessionnels du développement solidaire,6983,19.560224089635856,economic recovery and development,,45 avenue de la belle gabrielle 75012 paris france,  01 70 91 92 0001 70 91 92 00  ,gret@gret.org ,http://www.gret.org,,fondé en 1976 le gret est une ong professionnelle de développement solidaire. actif dans plus de...,,"Gret, 45 bis, Avenue de la Belle Gabrielle, Quartier de Picpus, Paris 12e Arrondissement, Paris, Île-de-France, France métropolitaine, 75012, France","(48.8346707, 2.4663432, 0.0)",48.8346707,2.4663432,0.0
52,groupe d'information et de soutien des immigré.e.s gisti,14224,39.84313725490196,human rights democracy and governance,,3 villa marcès  75011 paris france,  01 43 14 84 8401 43 14 84 84  ,gisti@gisti.org ,http://www.gisti.org,,accueil du publicla permanence téléphonique n’est accessible que par courrier ou téléphone ...,,"3, Villa Marcès, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France","(48.8587474, 2.3756058, 0.0)",48.8587474,2.3756058,0.0
53,habitatcité,1186,3.3221288515406164,economic recovery and development,,62 rue vergniaud 75013 paris,  01 45 88 71 7501 45 88 71 75  , association@habitat-cite.org ,http://www.habitat-cite.org,,habitat-cité se mobilise contre l’augmentation des inégalités dans un monde où la misère et les ...,,"62, Rue Vergniaud, Quartier de la Maison-Blanche, Paris 13e Arrondissement, Paris, Île-de-France, France métropolitaine, 75013, France","(48.8248471, 2.344665, 0.0)",48.8248471,2.344665,0.0
54,immigration développement démocratie,1048,2.9355742296918765,economic recovery and development,,130 rue des poissonniers 75018 paris,  01 55 79 09 3401 55 79 09 34  ,projet@idd-reseau.org ,http://http://www.idd-reseau.org/,,idd est un réseau d’associations issues de l’immigration marocaine en france qui se veut une plat...,,"130, Rue des Poissonniers, Quartier de la Goutte-d'Or, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France","(48.8957525, 2.3531195, 0.0)",48.8957525,2.3531195,0.0
55,ingénieurs sans frontières,10629,29.77310924369748,education,,146 rue de crimée 75019 paris,  01 53 35 05 4001 53 35 05 40  ,courrier@isf-france.org ,http://www.isf-france.org,,ingénieurs sans frontières – association de solidarité internationalecréée en 1982 – s’engage à f...,,"Ingénieurs sans frontières, 146, Rue de Crimée, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.8873433, 2.3806977, 0.0)",48.8873433,2.3806977,0.0
56,institut belleville,0,0.0,human rights democracy and governance,,4 boulevard de la villette 75020 paris france,  33 0 1 42 03 81 3733 0 1 42 03 81 37  33 , institutbelleville@cfdt.fr  ,http://www.cfdt.fr/jcms/rec_110235/l-institut-b...,,l’institut belleville est l’institut de coopération créé en 1984 par la cfdt pour mettre en œuvre...,,"4, Boulevard de la Villette, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.8726074, 2.3767722, 0.0)",48.8726074,2.3767722,0.0
57,institut de coopération sociale internationale icosi,603,1.6890756302521008,economic recovery and development,,10 rue cambacérès  75008 paris france,  01 71 18 61 9301 71 18 61 93  , info@icosi.org  ,http://www.icosi.org,,créé en 1983 l’institut de coopération sociale internationale a pour objet de :promouvoir les va...,,"10, Rue Cambacérès, Quartier de la Madeleine, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France","(48.8726689, 2.3180993, 0.0)",48.8726689,2.3180993,0.0
58,institut de recherche et d’applications des méthodes de développement,0,0.0,economic recovery and development,,49 rue de la glacière 75013 paris,  01 44 08 67 6701 44 08 67 67 , iram@iram-fr.org  ,http://www.iram-fr.org,,l’iram – institut de recherches et d’applications des méthodes de développement – travaille dans ...,,"49, Rue de la Glacière, Quartier de la Maison-Blanche, Paris 13e Arrondissement, Paris, Île-de-France, France métropolitaine, 75013, France","(48.832526, 2.34467, 0.0)",48.832526,2.34467,0.0
